City,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity
Allahabad,2013-01-01,72.19098775300478,28.038858808847504,74.46670295824697,90.10102404259005,2.7374978280028617,22.832619702843715,23.53872163562992,91.4626622710895
Nagpur,2013-01-02,156.16252478433864,109.70559237507601,79.35702520869359,62.66019024771359,8.298729172412717,87.44448762993161,31.233320994537728,55.05714596942879
Vadodara,2013-01-03,37.035248398730246,320.99624859463717,19.526083165387526,30.34115635701047,0.26830230822698964,14.381348870711173,39.91946106151799,86.67058990678038
Nashik,2013-01-04,222.00005593511597,217.0041091061649,85.57228988783152,23.41321721339554,1.3720837820529144,25.3334738328441,39.88096537605648,76.20361369174714
Srinagar,2013-01-05,259.69069369123156,47.634850697993095,135.6134232647463,32.02651968730204,6.027526932301451,95.91889888491659,24.098537719873015,75.65855915652853
Kota,2013-01-06,230.21220871886817,375.6560042889314,42.24537698185051,79.00763419292966,7.026396707454816,62.11521131109008,41.50915798455437,25.626962026125977
Mumbai,2013-01-07,248.22565462732354,275.69333801537977,44.53601646249466,37.715463939161175,1.6918052560416759,88.51102321330032,19.40823422452649,95.96933268545315
Visakhapatnam,2013-01-08,146.85248934074957,73.57049770457442,90.39293914173744,13.200071809134249,3.5110553728027116,60.11245475992953,36.8623847030664,70.1133417226728
Nashik,2013-01-09,58.546402602552526,175.70635601422222,33.06846461174267,7.825843915423283,6.834982940270164,92.43356163758935,14.551659012699801,39.28345689861186
Howrah,2013-01-10,248.04846974359685,202.22040559622403,75.38814373226596,43.51629305301034,0.24047101937521642,53.23215571171193,36.27638065286283,73.5069648921431
Allahabad,2013-01-11,12.189674238414801,352.90958807695154,11.423735911690123,24.898414176802035,6.459848508779929,23.885288082743696,34.60952914330759,30.528897083485624
Raipur,2013-01-12,213.70618395230014,130.3679341787681,95.01391109447444,5.903616666897179,9.935766230885042,55.67197577173269,19.742367709452747,92.83461937149808
Jodhpur,2013-01-13,30.224430228912475,239.54927561823834,57.93024803766809,65.29442930073259,0.22000874361469125,91.75680418092662,14.133112973477388,50.86799729094035
Nagpur,2013-01-14,91.80780828992549,172.61682392372353,44.1764576292078,64.47959428352621,5.0016255378998,67.41093457279236,24.638470389710456,57.12093835300194
